Name,Address,Website,Type,lon,lat
中國信託-嘉義,嘉義市西區中山路386號6樓,https://www.nvesto.com/tpe/broker/6160/buysell#!/point/6168/,券商,120.446029,23.479710
中國信託-雙和,新北市永和區中正路63號6樓,https://www.nvesto.com/tpe/broker/6160/buysell#!/point/6169/,券商,121.514729,24.996573
中國信託-中壢,桃園市中壢區中山路118號3樓,https://www.nvesto.com/tpe/broker/6160/buysell#!/point/616A/,券商,121.225620,24.955590
中國信託-高雄,高雄市前金區中正四路168號6樓之1,https://www.nvesto.com/tpe/broker/6160/buysell#!/point/616K/,券商,120.295244,22.629445
中國信託-國際證券,台北市南港區經貿二路168號3樓,https://www.nvesto.com/tpe/broker/6160/buysell#!/point/616X/,券商,121.616179,25.058917
中農,台中市梧棲區四維中路157巷1號2樓,https://www.nvesto.com/tpe/broker/8520/buysell#!/point/8520/,券商,120.537532,24.259971
元大,台北市中山區南京東路3段225號13樓及14樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9800/,券商,121.543673,25.052049
元大-松江,台北市中山區松江路139號3樓及3樓之1,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9801/,券商,121.533289,25.055091
元大- 斗六,雲林縣斗六市中山路82號6樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/980C/,券商,120.540780,23.708317
元大-開元,台南市開元路147號3樓之1、3樓之2,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/980D/,券商,120.218569,23.006975
元大-竹科,新竹市光復路1段267號3、4樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/980K/,券商,121.019840,24.782153
元大-南崁,桃園市蘆竹區中正路311號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/980Q/,券商,121.291517,25.047923
元大-南海,台北市中正區南海路1號4樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/980R/,券商,121.517281,25.032779
元大-承德,台北市大同區承德路3段210號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/980a/,券商,121.518147,25.070588
元大-沙鹿,台中市沙鹿區沙田路131號5樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/980d/,券商,120.559048,24.235986
元大-清水,台中市清水區中山路170號5樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/980e/,券商,120.576170,24.270216
元大-台北,台北市重慶南路1段86號6樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/980h/,券商,121.513096,25.043075
元大-虎尾,雲林縣虎尾鎮林森路1段490號4樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/980l/,券商,120.433797,23.709517
元大-府城,臺南市中西區民生路1段165號3樓、5樓之1,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/980u/,券商,120.200413,22.993910
元大-西屯,台中市西屯區西屯路2段256巷6號3樓之1,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/980w/,券商,120.647386,24.170850
元大-台中,台中市中區自由路2段8號3樓之1,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9812/,券商,120.680734,24.138387
